date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-03-05,EgyptAir,EG9550,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,296,Airspace closure — NOTAM
2026-03-05,Mahan Air,MA8272,Doha,Paris,Qatar,France,Airbus A330-300,145,Government travel ban
2026-03-05,Pakistan International Airlines,PA6239,Bahrain,London,Bahrain,UK,Airbus A320neo,315,Fuel supply disruption
2026-03-05,DHL Aviation,DH8433,Dubai,Singapore,UAE,Singapore,Airbus A380-800,284,Government travel ban
2026-03-05,Kuwait Airways,KU8057,Beijing,Tehran,China,Iran,Boeing 787-10 Dreamliner,197,Crew safety — company policy
2026-03-05,Jazeera Airways,JA323,Dubai,Frankfurt,UAE,Germany,Boeing 737-800,194,Airspace closure — NOTAM
2026-03-05,Kuwait Airways,KU1436,Paris,Doha,France,Qatar,Boeing 737-800,193,Airspace closure — NOTAM
2026-03-05,United Airlines,UN2708,Dubai,Paris,UAE,France,Airbus A350-900,331,Insurance restriction — war zone
2026-03-05,KLM,KL3523,Sydney,Dubai,Australia,UAE,Boeing 777-300ER,254,Airspace closure — NOTAM
2026-03-05,Thai Airways,TH7610,Paris,Doha,France,Qatar,Boeing 737 MAX 8,411,Government travel ban
2026-03-05,Saudi Arabian Airlines,SA692,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,114,Airport closure — military activity
2026-03-05,flydubai,FL448,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,424,Airspace closure — NOTAM
2026-03-05,Etihad Airways,ET4575,London,Kuwait City,UK,Kuwait,Airbus A321neo,192,Government travel ban
2026-03-05,Jazeera Airways,JA407,London,Kuwait City,UK,Kuwait,Airbus A320neo,234,Security risk — conflict zone
2026-03-05,Air Arabia,AI7179,Mumbai,Dubai,India,UAE,Airbus A340-600,282,Diplomatic advisory — do not fly
2026-03-05,Etihad Airways,ET306,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737 MAX 8,254,Government travel ban
2026-03-05,EgyptAir,EG1684,Tehran,Beijing,Iran,China,Boeing 787-9 Dreamliner,254,Insurance restriction — war zone
2026-03-05,Malaysia Airlines,MA3619,Dubai,Amman,UAE,Jordan,Boeing 777-300ER,317,Crew safety — company policy
2026-03-05,British Airways,BR6548,Sydney,Abu Dhabi,Australia,UAE,Airbus A330-300,160,Diplomatic advisory — do not fly
2026-03-05,British Airways,BR9949,Mumbai,Doha,India,Qatar,Airbus A321neo,94,Airport closure — military activity
2026-03-05,Emirates,EM9056,Mumbai,Kuwait City,India,Kuwait,Boeing 737-800,250,Crew safety — company policy
2026-03-05,British Airways,BR4387,London,Doha,UK,Qatar,Airbus A320neo,212,Airport closure — military activity
2026-03-05,Delta Air Lines,DE9014,Tehran,Beijing,Iran,China,Airbus A380-800,358,Government travel ban
2026-03-05,Qatar Airways,QA2566,Frankfurt,Dubai,Germany,UAE,Boeing 777-200LR,404,Airspace closure — NOTAM
2026-03-05,Jazeera Airways,JA5787,Los Angeles,Doha,USA,Qatar,Boeing 787-9 Dreamliner,259,Security risk — conflict zone
2026-03-05,flydubai,FL6978,Abu Dhabi,London,UAE,UK,Airbus A321neo,258,Security risk — conflict zone
2026-03-05,KLM,KL7031,Dubai,Karachi,UAE,Pakistan,Airbus A380-800,414,Airspace closure — NOTAM
2026-03-05,Ethiopian Airlines,ET6897,London,Doha,UK,Qatar,Boeing 737 MAX 8,155,Government travel ban
2026-03-05,Air Arabia,AI9037,Bahrain,London,Bahrain,UK,Airbus A320neo,139,Government travel ban
2026-03-05,Mahan Air,MA546,Los Angeles,Doha,USA,Qatar,Airbus A350-900,107,Government travel ban
2026-03-05,Emirates SkyCargo,EM3840,Dubai,Singapore,UAE,Singapore,Boeing 737 MAX 8,281,Fuel supply disruption
2026-03-05,Emirates,EM4251,Dubai,Karachi,UAE,Pakistan,Airbus A350-900,164,Airport closure — military activity
2026-03-05,KLM,KL1980,Moscow,Tehran,Russia,Iran,Boeing 737-800,291,Government travel ban
2026-03-05,Singapore Airlines,SI7825,Dubai,Frankfurt,UAE,Germany,Airbus A380-800,192,Fuel supply disruption
2026-03-05,Etihad Airways,ET8205,London,Kuwait City,UK,Kuwait,Boeing 777-300ER,289,Crew safety — company policy
2026-03-05,Cargolux,CA8111,Moscow,Tehran,Russia,Iran,Airbus A350-900,384,Insurance restriction — war zone
2026-03-05,Gulf Air,GU9047,Doha,Paris,Qatar,France,Boeing 737 MAX 8,351,Security risk — conflict zone
2026-03-05,Lufthansa,LU3819,London,Muscat,UK,Oman,Boeing 737-800,191,Security risk — conflict zone
2026-03-05,Etihad Airways,ET456,Paris,Beirut,France,Lebanon,Airbus A330-300,267,Airport closure — military activity
2026-03-05,EgyptAir,EG9608,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 777-300ER,260,Insurance restriction — war zone
2026-03-05,Iran Air,IR7815,Dubai,Istanbul,UAE,Turkey,Airbus A320neo,177,Crew safety — company policy
2026-03-06,United Airlines,UN4752,Mumbai,Dubai,India,UAE,Boeing 737-800,147,Airspace closure — NOTAM
2026-03-06,Air India,AI7908,London,Muscat,UK,Oman,Boeing 737 MAX 8,315,Airport closure — military activity
2026-03-06,KLM,KL5298,Doha,Paris,Qatar,France,Airbus A330-300,321,Insurance restriction — war zone
2026-03-06,Air France,AI1620,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737-800,355,Security risk — conflict zone
2026-03-06,flydubai,FL5197,Dubai,London,UAE,UK,Boeing 777-300ER,315,Diplomatic advisory — do not fly
2026-03-06,EgyptAir,EG9576,London,Singapore,UK,Singapore,Boeing 737-800,199,Insurance restriction — war zone
2026-03-06,Ethiopian Airlines,ET4887,Dubai,New York,UAE,USA,Boeing 787-9 Dreamliner,247,Diplomatic advisory — do not fly
2026-03-06,Turkish Airlines,TU5720,Dubai,Cairo,UAE,Egypt,Airbus A320neo,154,Diplomatic advisory — do not fly
2026-03-06,Oman Air,OM9603,London,Muscat,UK,Oman,Airbus A330-300,312,Airspace closure — NOTAM
2026-03-06,Air France,AI8394,Washington,Abu Dhabi,USA,UAE,Boeing 737 MAX 8,249,Government travel ban
2026-03-06,American Airlines,AM4972,Frankfurt,Dubai,Germany,UAE,Boeing 737-800,308,Diplomatic advisory — do not fly
2026-03-06,Air Arabia,AI5741,Doha,Paris,Qatar,France,Boeing 787-9 Dreamliner,146,Crew safety — company policy
2026-03-06,Emirates SkyCargo,EM3669,New York,Dubai,USA,UAE,Boeing 787-10 Dreamliner,176,Fuel supply disruption
2026-03-06,Air France,AI6476,London,Singapore,UK,Singapore,Boeing 787-10 Dreamliner,176,Airspace closure — NOTAM
2026-03-06,Etihad Airways,ET1268,New York,Dubai,USA,UAE,Airbus A340-600,359,Insurance restriction — war zone
2026-03-06,Air India,AI786,Paris,Dubai,France,UAE,Boeing 787-9 Dreamliner,350,Fuel supply disruption
2026-03-06,Lufthansa,LU1557,Istanbul,Tehran,Turkey,Iran,Airbus A330-300,159,Security risk — conflict zone
2026-03-06,Air Arabia,AI6231,Dubai,Delhi,UAE,India,Boeing 787-9 Dreamliner,210,Insurance restriction — war zone
2026-03-06,Ethiopian Airlines,ET2253,Riyadh,London,Saudi Arabia,UK,Boeing 737 MAX 8,418,Airport closure — military activity
2026-03-06,Jazeera Airways,JA544,Doha,Paris,Qatar,France,Airbus A330-300,362,Fuel supply disruption
2026-03-06,Air France,AI283,Istanbul,Delhi,Turkey,India,Boeing 737-800,185,Security risk — conflict zone
2026-03-06,Iran Air,IR3622,Istanbul,Delhi,Turkey,India,Airbus A340-600,316,Airspace closure — NOTAM
2026-03-06,Gulf Air,GU2317,Istanbul,Delhi,Turkey,India,Airbus A321neo,236,Diplomatic advisory — do not fly
2026-03-06,EgyptAir,EG1130,Washington,Abu Dhabi,USA,UAE,Boeing 777-300ER,290,Airport closure — military activity
2026-03-06,FedEx Express,FE3828,Karachi,Dubai,Pakistan,UAE,Boeing 777-200LR,450,Airspace closure — NOTAM
2026-03-06,Turkish Airlines,TU9895,Istanbul,Tehran,Turkey,Iran,Boeing 737-800,102,Crew safety — company policy
2026-03-06,flydubai,FL7427,London,Riyadh,UK,Saudi Arabia,Boeing 777-200LR,217,Security risk — conflict zone
2026-03-06,Turkish Airlines,TU1764,London,Singapore,UK,Singapore,Airbus A380-800,438,Insurance restriction — war zone
2026-03-06,Air France,AI5404,London,Riyadh,UK,Saudi Arabia,Airbus A350-900,128,Insurance restriction — war zone
2026-03-06,FedEx Express,FE7997,Sydney,Abu Dhabi,Australia,UAE,Airbus A330-300,141,Airport closure — military activity
2026-03-06,Turkish Airlines,TU6893,New York,Doha,USA,Qatar,Airbus A330-300,327,Government travel ban
2026-03-06,Qatar Airways,QA3623,London,Muscat,UK,Oman,Boeing 737 MAX 8,132,Government travel ban
2026-03-06,Cargolux,CA921,Istanbul,Dubai,Turkey,UAE,Airbus A380-800,284,Fuel supply disruption
2026-03-06,Air Arabia,AI8836,Paris,Dubai,France,UAE,Airbus A330-300,384,Airspace closure — NOTAM
2026-03-06,Thai Airways,TH7414,Doha,Paris,Qatar,France,Airbus A320neo,275,Fuel supply disruption
2026-03-06,Iran Air,IR2945,Doha,Lahore,Qatar,Pakistan,Airbus A330-300,122,Insurance restriction — war zone
2026-03-06,American Airlines,AM9042,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737-800,262,Airport closure — military activity
2026-03-06,Kuwait Airways,KU308,Abu Dhabi,Washington,UAE,USA,Airbus A380-800,336,Airport closure — military activity
2026-03-06,IndiGo,IN8561,Abu Dhabi,Sydney,UAE,Australia,Airbus A380-800,106,Diplomatic advisory — do not fly
2026-03-06,Singapore Airlines,SI7255,Dubai,Singapore,UAE,Singapore,Boeing 777-300ER,224,Government travel ban
2026-03-06,EgyptAir,EG5518,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737 MAX 8,125,Crew safety — company policy
2026-03-06,Jazeera Airways,JA3714,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,195,Airport closure — military activity
2026-03-06,Turkish Airlines,TU3977,Dubai,Istanbul,UAE,Turkey,Airbus A330-300,82,Government travel ban
2026-03-06,British Airways,BR2043,Tehran,Moscow,Iran,Russia,Airbus A320neo,374,Crew safety — company policy
2026-03-06,Iran Air,IR5324,Tehran,Beijing,Iran,China,Airbus A321neo,90,Government travel ban
2026-03-06,Lufthansa,LU1064,Dubai,Amman,UAE,Jordan,Boeing 737 MAX 8,359,Fuel supply disruption
2026-03-06,Cathay Pacific,CA4117,Abu Dhabi,London,UAE,UK,Boeing 787-10 Dreamliner,125,Crew safety — company policy
2026-03-06,EgyptAir,EG666,London,Abu Dhabi,UK,UAE,Airbus A340-600,298,Airport closure — military activity
2026-03-06,FedEx Express,FE455,Dubai,Amman,UAE,Jordan,Boeing 737 MAX 8,446,Government travel ban
2026-03-06,Ethiopian Airlines,ET5301,Amman,Dubai,Jordan,UAE,Boeing 777-300ER,416,Airspace closure — NOTAM
2026-03-06,flydubai,FL4450,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A340-600,340,Airspace closure — NOTAM
2026-03-07,Cargolux,CA8752,Dubai,Bahrain,UAE,Bahrain,Boeing 787-9 Dreamliner,426,Security risk — conflict zone
2026-03-07,Emirates SkyCargo,EM8803,Istanbul,Tehran,Turkey,Iran,Boeing 777-200LR,89,Fuel supply disruption
2026-03-07,Mahan Air,MA5712,New York,Doha,USA,Qatar,Boeing 777-300ER,401,Airport closure — military activity
2026-03-07,Pakistan International Airlines,PA8328,Karachi,Dubai,Pakistan,UAE,Boeing 777-200LR,216,Insurance restriction — war zone
2026-03-07,Malaysia Airlines,MA9803,Istanbul,Dubai,Turkey,UAE,Airbus A340-600,241,Airspace closure — NOTAM
2026-03-07,Air France,AI6293,Mumbai,Kuwait City,India,Kuwait,Airbus A380-800,428,Airspace closure — NOTAM
2026-03-07,Emirates,EM2957,Doha,Los Angeles,Qatar,USA,Airbus A321neo,153,Crew safety — company policy
2026-03-07,Cargolux,CA3049,Doha,Lahore,Qatar,Pakistan,Airbus A380-800,273,Crew safety — company policy
2026-03-07,Oman Air,OM6425,London,Muscat,UK,Oman,Boeing 777-300ER,223,Diplomatic advisory — do not fly
2026-03-07,Oman Air,OM9182,Washington,Abu Dhabi,USA,UAE,Boeing 787-10 Dreamliner,93,Government travel ban
2026-03-07,Oman Air,OM9398,Doha,Paris,Qatar,France,Airbus A340-600,98,Security risk — conflict zone
2026-03-07,Qatar Airways,QA316,Dubai,Amman,UAE,Jordan,Boeing 787-9 Dreamliner,335,Security risk — conflict zone
2026-03-07,Cargolux,CA2337,Doha,Mumbai,Qatar,India,Airbus A330-300,130,Diplomatic advisory — do not fly
2026-03-07,British Airways,BR6333,Karachi,Istanbul,Pakistan,Turkey,Boeing 777-200LR,140,Crew safety — company policy
2026-03-07,Emirates SkyCargo,EM7224,Doha,London,Qatar,UK,Boeing 737-800,308,Crew safety — company policy
2026-03-07,Air Arabia,AI5183,Karachi,Dubai,Pakistan,UAE,Airbus A380-800,376,Fuel supply disruption
2026-03-07,Air France,AI5153,Amman,Dubai,Jordan,UAE,Airbus A321neo,112,Security risk — conflict zone
2026-03-07,IndiGo,IN2088,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,318,Insurance restriction — war zone
2026-03-07,Oman Air,OM2646,Doha,New York,Qatar,USA,Boeing 787-10 Dreamliner,256,Airspace closure — NOTAM
2026-03-07,Malaysia Airlines,MA6968,Bahrain,London,Bahrain,UK,Airbus A380-800,96,Government travel ban
2026-03-07,IndiGo,IN1491,Dubai,Karachi,UAE,Pakistan,Boeing 787-9 Dreamliner,320,Airport closure — military activity
2026-03-07,DHL Aviation,DH7778,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A340-600,204,Diplomatic advisory — do not fly
2026-03-07,Etihad Airways,ET6029,Mumbai,Dubai,India,UAE,Boeing 787-9 Dreamliner,106,Airspace closure — NOTAM
2026-03-07,Mahan Air,MA462,Bahrain,London,Bahrain,UK,Airbus A380-800,425,Government travel ban
2026-03-07,Pakistan International Airlines,PA6301,Islamabad,Dubai,Pakistan,UAE,Airbus A320neo,267,Government travel ban
2026-03-07,Air India,AI1158,London,Riyadh,UK,Saudi Arabia,Airbus A320neo,132,Government travel ban
2026-03-07,United Airlines,UN352,Dubai,Mumbai,UAE,India,Boeing 787-9 Dreamliner,111,Security risk — conflict zone
2026-03-07,Gulf Air,GU8649,Dubai,Cairo,UAE,Egypt,Boeing 787-10 Dreamliner,381,Insurance restriction — war zone
2026-03-07,Emirates,EM6240,Mumbai,Dubai,India,UAE,Airbus A321neo,226,Diplomatic advisory — do not fly
2026-03-07,IndiGo,IN4416,Karachi,Dubai,Pakistan,UAE,Boeing 737-800,335,Airport closure — military activity
2026-03-07,Singapore Airlines,SI9350,Dubai,Karachi,UAE,Pakistan,Airbus A320neo,264,Crew safety — company policy
2026-03-07,Turkish Airlines,TU1349,London,Kuwait City,UK,Kuwait,Boeing 777-300ER,179,Airspace closure — NOTAM
2026-03-07,Emirates SkyCargo,EM288,London,Bahrain,UK,Bahrain,Airbus A340-600,270,Government travel ban
2026-03-07,British Airways,BR8139,London,Riyadh,UK,Saudi Arabia,Boeing 737-800,282,Government travel ban
2026-03-07,Emirates SkyCargo,EM5999,Tehran,Moscow,Iran,Russia,Airbus A380-800,119,Insurance restriction — war zone
2026-03-07,Singapore Airlines,SI4111,Abu Dhabi,Sydney,UAE,Australia,Boeing 777-300ER,121,Insurance restriction — war zone
2026-03-07,Air Arabia,AI2148,London,Singapore,UK,Singapore,Airbus A330-300,272,Fuel supply disruption
2026-03-07,United Airlines,UN4689,Karachi,Dubai,Pakistan,UAE,Boeing 787-9 Dreamliner,441,Airspace closure — NOTAM
2026-03-07,Iran Air,IR8266,Dubai,Frankfurt,UAE,Germany,Airbus A380-800,292,Airspace closure — NOTAM
2026-03-07,Qatar Airways,QA1575,Abu Dhabi,Washington,UAE,USA,Boeing 777-200LR,419,Diplomatic advisory — do not fly
2026-03-07,Turkish Airlines,TU4143,Beijing,Tehran,China,Iran,Boeing 777-300ER,181,Government travel ban
2026-03-07,Iran Air,IR7051,London,Bahrain,UK,Bahrain,Airbus A321neo,316,Diplomatic advisory — do not fly
2026-03-07,Turkish Airlines,TU1608,Karachi,Istanbul,Pakistan,Turkey,Boeing 787-9 Dreamliner,339,Crew safety — company policy
2026-03-07,Iran Air,IR1791,London,Muscat,UK,Oman,Boeing 777-200LR,421,Fuel supply disruption
2026-03-07,flydubai,FL8884,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A380-800,390,Diplomatic advisory — do not fly
2026-03-08,Air India,AI739,Cairo,Dubai,Egypt,UAE,Boeing 787-10 Dreamliner,392,Insurance restriction — war zone
2026-03-08,Malaysia Airlines,MA7002,Dubai,Delhi,UAE,India,Boeing 737 MAX 8,299,Diplomatic advisory — do not fly
2026-03-08,KLM,KL3824,London,Doha,UK,Qatar,Boeing 777-300ER,158,Government travel ban
2026-03-08,KLM,KL2151,Istanbul,Delhi,Turkey,India,Airbus A380-800,357,Airspace closure — NOTAM
2026-03-08,Emirates SkyCargo,EM9695,London,Muscat,UK,Oman,Airbus A340-600,226,Insurance restriction — war zone
2026-03-08,Turkish Airlines,TU6911,Dubai,Bahrain,UAE,Bahrain,Airbus A380-800,82,Fuel supply disruption
2026-03-08,United Airlines,UN479,Doha,Paris,Qatar,France,Airbus A340-600,230,Airspace closure — NOTAM
2026-03-08,KLM,KL5936,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,94,Security risk — conflict zone
2026-03-08,Emirates SkyCargo,EM2459,New York,Doha,USA,Qatar,Boeing 737 MAX 8,193,Government travel ban
2026-03-08,Pakistan International Airlines,PA1486,New York,Doha,USA,Qatar,Airbus A340-600,333,Crew safety — company policy
2026-03-08,Ethiopian Airlines,ET6556,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,312,Airspace closure — NOTAM
2026-03-08,IndiGo,IN6448,Washington,Abu Dhabi,USA,UAE,Boeing 737 MAX 8,432,Government travel ban
2026-03-08,Emirates SkyCargo,EM8047,Riyadh,London,Saudi Arabia,UK,Boeing 787-9 Dreamliner,374,Diplomatic advisory — do not fly
2026-03-08,Iran Air,IR2347,Karachi,Dubai,Pakistan,UAE,Airbus A321neo,413,Airport closure — military activity
2026-03-08,Emirates SkyCargo,EM338,Beirut,Paris,Lebanon,France,Airbus A330-300,143,Airspace closure — NOTAM
2026-03-08,Thai Airways,TH1425,Mumbai,Doha,India,Qatar,Boeing 787-10 Dreamliner,411,Airspace closure — NOTAM
2026-03-08,Air France,AI4399,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 737 MAX 8,366,Security risk — conflict zone
2026-03-08,Etihad Airways,ET6758,Islamabad,Dubai,Pakistan,UAE,Boeing 737 MAX 8,88,Security risk — conflict zone
2026-03-08,Pakistan International Airlines,PA7253,Dubai,New York,UAE,USA,Boeing 787-10 Dreamliner,334,Fuel supply disruption
2026-03-08,KLM,KL1655,Doha,London,Qatar,UK,Airbus A330-300,245,Security risk — conflict zone
2026-03-08,Delta Air Lines,DE7810,Kuwait City,Cairo,Kuwait,Egypt,Boeing 737 MAX 8,151,Fuel supply disruption
2026-03-08,EgyptAir,EG5245,Riyadh,London,Saudi Arabia,UK,Boeing 777-300ER,296,Diplomatic advisory — do not fly
2026-03-08,Air Arabia,AI9971,Dubai,London,UAE,UK,Airbus A321neo,237,Airport closure — military activity
2026-03-08,Jazeera Airways,JA8400,Beirut,Paris,Lebanon,France,Airbus A320neo,221,Security risk — conflict zone
2026-03-08,Gulf Air,GU565,Karachi,Dubai,Pakistan,UAE,Airbus A350-900,341,Crew safety — company policy
2026-03-08,EgyptAir,EG722,Paris,Doha,France,Qatar,Boeing 777-200LR,241,Crew safety — company policy
2026-03-08,IndiGo,IN2169,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,292,Diplomatic advisory — do not fly
2026-03-08,Emirates,EM5846,Dubai,Bahrain,UAE,Bahrain,Boeing 737-800,325,Airspace closure — NOTAM
2026-03-08,United Airlines,UN1479,Dubai,Paris,UAE,France,Boeing 737-800,270,Airport closure — military activity
2026-03-08,FedEx Express,FE667,Sydney,Dubai,Australia,UAE,Airbus A350-900,413,Fuel supply disruption
2026-03-08,Mahan Air,MA3416,Riyadh,London,Saudi Arabia,UK,Boeing 787-10 Dreamliner,413,Security risk — conflict zone
2026-03-08,United Airlines,UN2629,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A330-300,370,Insurance restriction — war zone
2026-03-08,DHL Aviation,DH7540,Tehran,Moscow,Iran,Russia,Boeing 777-300ER,321,Crew safety — company policy
2026-03-08,flydubai,FL1768,Doha,Paris,Qatar,France,Boeing 787-9 Dreamliner,137,Diplomatic advisory — do not fly
2026-03-08,FedEx Express,FE1231,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,333,Airport closure — military activity
2026-03-08,Gulf Air,GU9385,Los Angeles,Doha,USA,Qatar,Airbus A320neo,342,Government travel ban
2026-03-08,Malaysia Airlines,MA267,Singapore,London,Singapore,UK,Boeing 787-10 Dreamliner,246,Government travel ban
2026-03-08,Kuwait Airways,KU8818,London,Muscat,UK,Oman,Airbus A380-800,386,Crew safety — company policy
2026-03-08,Air India,AI2765,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,261,Diplomatic advisory — do not fly
2026-03-09,Etihad Airways,ET2940,Kuwait City,Cairo,Kuwait,Egypt,Boeing 777-300ER,411,Airspace closure — NOTAM
2026-03-09,Pakistan International Airlines,PA3502,London,Kuwait City,UK,Kuwait,Boeing 787-9 Dreamliner,301,Fuel supply disruption
2026-03-09,Ethiopian Airlines,ET8255,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,137,Airspace closure — NOTAM
2026-03-09,Kuwait Airways,KU8820,Beirut,Paris,Lebanon,France,Boeing 737-800,327,Security risk — conflict zone
2026-03-09,Iran Air,IR2093,Beirut,Paris,Lebanon,France,Boeing 737-800,140,Crew safety — company policy
2026-03-09,Ethiopian Airlines,ET6504,Doha,Mumbai,Qatar,India,Boeing 787-9 Dreamliner,368,Government travel ban
2026-03-09,Jazeera Airways,JA2668,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,367,Crew safety — company policy
2026-03-09,Emirates,EM8354,Dubai,New York,UAE,USA,Airbus A321neo,275,Government travel ban
2026-03-09,Qatar Airways,QA1996,Islamabad,Riyadh,Pakistan,Saudi Arabia,Boeing 737-800,342,Diplomatic advisory — do not fly
2026-03-09,Saudi Arabian Airlines,SA3705,London,Bahrain,UK,Bahrain,Airbus A350-900,184,Fuel supply disruption
2026-03-09,FedEx Express,FE4591,Doha,Paris,Qatar,France,Airbus A340-600,228,Security risk — conflict zone
2026-03-09,DHL Aviation,DH6448,Paris,Dubai,France,UAE,Boeing 737-800,146,Fuel supply disruption
2026-03-09,Emirates,EM476,Singapore,Dubai,Singapore,UAE,Boeing 737-800,142,Security risk — conflict zone
2026-03-09,FedEx Express,FE7034,Sydney,Abu Dhabi,Australia,UAE,Boeing 787-9 Dreamliner,117,Insurance restriction — war zone
2026-03-09,Ethiopian Airlines,ET8204,Doha,London,Qatar,UK,Boeing 787-10 Dreamliner,404,Crew safety — company policy
2026-03-09,Iran Air,IR5412,Lahore,Doha,Pakistan,Qatar,Airbus A350-900,107,Government travel ban
2026-03-09,Emirates SkyCargo,EM5025,Mumbai,Doha,India,Qatar,Airbus A350-900,343,Government travel ban
2026-03-09,Cargolux,CA8648,London,Dubai,UK,UAE,Boeing 777-200LR,106,Government travel ban
2026-03-09,Cathay Pacific,CA7328,Karachi,Dubai,Pakistan,UAE,Airbus A350-900,106,Diplomatic advisory — do not fly
2026-03-09,Air France,AI1194,Doha,Paris,Qatar,France,Boeing 787-9 Dreamliner,116,Diplomatic advisory — do not fly
2026-03-09,Jazeera Airways,JA1728,Dubai,Karachi,UAE,Pakistan,Airbus A320neo,245,Airport closure — military activity
2026-03-09,Etihad Airways,ET1664,Beirut,Paris,Lebanon,France,Airbus A340-600,381,Diplomatic advisory — do not fly
2026-03-09,EgyptAir,EG6306,Dubai,Cairo,UAE,Egypt,Boeing 777-300ER,172,Diplomatic advisory — do not fly
2026-03-09,Malaysia Airlines,MA8563,Mumbai,Doha,India,Qatar,Boeing 787-10 Dreamliner,418,Insurance restriction — war zone
2026-03-09,Qatar Airways,QA2743,Dubai,Paris,UAE,France,Boeing 787-9 Dreamliner,173,Airspace closure — NOTAM
2026-03-09,American Airlines,AM1633,Dubai,Paris,UAE,France,Airbus A380-800,388,Fuel supply disruption
2026-03-09,Air France,AI4770,Muscat,London,Oman,UK,Boeing 777-200LR,210,Airport closure — military activity
2026-03-09,Lufthansa,LU9110,Paris,Doha,France,Qatar,Airbus A320neo,81,Crew safety — company policy
2026-03-09,Pakistan International Airlines,PA4563,Mumbai,Dubai,India,UAE,Airbus A340-600,98,Fuel supply disruption
2026-03-09,Malaysia Airlines,MA2076,Beirut,Paris,Lebanon,France,Boeing 787-10 Dreamliner,237,Crew safety — company policy
2026-03-09,Kuwait Airways,KU8895,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A320neo,404,Fuel supply disruption
2026-03-09,Turkish Airlines,TU9826,Moscow,Tehran,Russia,Iran,Boeing 787-9 Dreamliner,171,Airspace closure — NOTAM
2026-03-09,IndiGo,IN3342,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,409,Diplomatic advisory — do not fly
2026-03-09,British Airways,BR5739,London,Riyadh,UK,Saudi Arabia,Boeing 777-200LR,121,Crew safety — company policy
2026-03-09,Ethiopian Airlines,ET645,Riyadh,London,Saudi Arabia,UK,Boeing 737 MAX 8,381,Insurance restriction — war zone
2026-03-09,Ethiopian Airlines,ET3686,Mumbai,Doha,India,Qatar,Boeing 777-300ER,263,Fuel supply disruption
2026-03-09,flydubai,FL6260,Delhi,Dubai,India,UAE,Boeing 777-300ER,134,Diplomatic advisory — do not fly
2026-03-09,Turkish Airlines,TU371,London,Abu Dhabi,UK,UAE,Boeing 737-800,357,Fuel supply disruption
2026-03-09,American Airlines,AM1674,Dubai,Cairo,UAE,Egypt,Boeing 777-200LR,348,Government travel ban
2026-03-09,IndiGo,IN4416,Sydney,Abu Dhabi,Australia,UAE,Airbus A330-300,334,Diplomatic advisory — do not fly
2026-03-09,Turkish Airlines,TU9775,Kuwait City,London,Kuwait,UK,Airbus A330-300,163,Government travel ban
2026-03-09,Ethiopian Airlines,ET995,Dubai,Karachi,UAE,Pakistan,Airbus A350-900,202,Diplomatic advisory — do not fly
2026-03-09,FedEx Express,FE207,Istanbul,Dubai,Turkey,UAE,Airbus A320neo,442,Insurance restriction — war zone
2026-03-09,Pakistan International Airlines,PA5164,Abu Dhabi,Sydney,UAE,Australia,Airbus A350-900,142,Airport closure — military activity
2026-03-09,Turkish Airlines,TU4224,Dubai,Paris,UAE,France,Boeing 737 MAX 8,315,Airport closure — military activity
2026-03-09,Air France,AI7564,Istanbul,Karachi,Turkey,Pakistan,Airbus A340-600,358,Airspace closure — NOTAM
2026-03-09,Air Arabia,AI2332,Paris,Beirut,France,Lebanon,Airbus A320neo,434,Insurance restriction — war zone
2026-03-09,Air France,AI8470,Amman,Dubai,Jordan,UAE,Boeing 737-800,420,Government travel ban
2026-03-09,Lufthansa,LU5651,Islamabad,Dubai,Pakistan,UAE,Boeing 777-200LR,343,Security risk — conflict zone
2026-03-09,EgyptAir,EG4149,London,Abu Dhabi,UK,UAE,Boeing 787-10 Dreamliner,230,Diplomatic advisory — do not fly
2026-03-09,Singapore Airlines,SI422,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A320neo,257,Security risk — conflict zone
